Date,Close,High,Low,Open,Volume
5/19/2015,45.97997665,46.53432039,45.89860483,45.89860483,466346
5/20/2015,46.14780426,46.1528906,45.77146,46.02574492,313052
5/21/2015,46.02574539,46.407176,45.89860293,45.89860293,427363
5/24/2015,46.43260574,46.53431972,46.02574663,46.28003478,181260
5/25/2015,46.28003311,46.78860295,46.15289065,46.53431803,159375
5/26/2015,46.84963226,47.29717566,46.53431767,46.53431767,507009
5/27/2015,46.41734314,47.17003164,46.15288877,47.04288596,316039
5/28/2015,46.0460968,46.53432456,45.64432399,46.53432456,641806
5/31/2015,45.9240303,46.40717487,45.77145935,46.15288996,425495
6/1/2015,45.92911911,46.02574674,45.77146181,45.89860427,431328
6/2/2015,45.85791779,46.28003269,45.77145962,46.15289023,193977
6/3/2015,46.01557541,46.15289056,45.89860241,45.89860241,306496
6/4/2015,46.50380707,47.17003749,46.0257488,46.0257488,494299
6/7/2015,46.18340302,46.40717633,46.02574572,46.40717633,384953
6/8/2015,46.45803833,46.53432382,46.15289639,46.15289639,48024
6/9/2015,46.7224884,46.91574365,46.28003137,46.28003137,233641
6/10/2015,46.73265839,46.78860171,46.40717434,46.66145926,118818
6/11/2015,46.83437729,46.91574588,46.66146096,46.78860342,119447
6/14/2015,47.33277512,47.42431963,46.78860408,46.78860408,169086
6/15/2015,47.41923523,47.93289467,47.04289094,47.55146404,469110
6/16/2015,47.01745605,47.29717267,46.91574209,47.17003022,569283
6/17/2015,46.78351593,47.17003288,46.53431736,47.04288719,143354
6/18/2015,46.2952919,46.78860597,45.77146299,46.6614635,533014
6/21/2015,45.99014282,46.53431379,45.00859795,46.53431379,254699
6/22/2015,44.95775223,46.02575229,43.99146615,45.64432485,1977334
6/23/2015,45.27814484,45.51717395,44.75431598,44.75431598,322987
6/24/2015,45.6799202,45.77146471,45.00860665,45.26289159,61690
6/25/2015,46.37665939,46.53431669,45.5171738,45.64431626,213403
6/28/2015,46.0460968,46.78860952,45.77146647,46.53432456,313604
6/29/2015,46.12237167,46.28002896,44.62717066,45.77145593,445430
6/30/2015,45.74603653,46.02574997,45.00860695,46.02574997,368644
